pid,label,_date,_tags,description,localización
doc0001,Edición princeps,1619,Edición,"Fuenteovejuna fue incluida en la ""Docena parte de las comedias de Lope de Vega Carpio"", impresa por la Viuda de Alonso Martín, a costa del librero Alonso Pérez, Madrid, 1619. Hubo dos ediciones el mismo año, una primera con la portada con escudo xilográfico de Don Lorenzo de Cárdenas, Conde de la Puebla (la de este registro) y otra posterior con el símbolo del sagitario.",Biblioteca Nacional de España. Sig. R/14105
doc0002,La fuente obejuno de Lope,16¿?,Copia,"Copia manuscrita basada en la Parte XII, conservada en la Melbury House. Copiado en el XVII por al menos dos manos diferentes. Perteneció a Lord Ilchester",
doc0003,Cartel de la primera representación documentada en Fuente Obejuna con motivo del III Centenario de la muerte de Lope de Vega,1935-08-24,Representación,"Cartel de la primera representación de la comedia documenta en el pueblo que da título a la obra. Estuvo a cargo de la compañía de María Guerrero (Teatro Español), con Margarita Xirgu y Enrique Borrás, según la versión de Rivas Cherif estrenada el 23 de marzo de 1635. ",
doc0004,Guía de estudio editada por Carmen Kowalinski y Natalia Boquet para GradeSaver,2020-04-08,Recurso didáctico,"Guía de estudio editada por Carmen Kowalinski y Natalia Boquet para GradeSaver. Esta plataforma de pago vende guías de estudio, trabajos académicos y ofrece servicios de edición y corrección de trabajos académicos.",Ayuntamiento de Fuente Obejuna
doc0005,"Fuente Ovejuna, comedia famosa. De don Cristóbal de Monroy y Silva. ",anterior a 1649,Versión sobre el mismo tema,"Comedia escrita por Francisco de Monroy en el siglo XVII sobre el asunto histórico de Fuente Ovejuna. Se desconoce la fecha de composición, por lo que se indica que es anterior a la muerte del autor en 1649. Fue publicada en una suelta. En el impreso se indica uqe fue representada por María de Córdoba, conocida como ""Amarilis"" o la ""Gran sultana"".",Biblioteca de Menéndez Pelayo. Sig. 33984-01
doc0006,Noticia y fotografías de la representación Fuenteovjeuna dirigida por Luca de Tena según la versión de Giménez Caballero en 1944 en el Teatro Español,1944,Representación,"La versión de Cayetano Luca de Tena y Ernesto Giménez Caballero fue estrenada el 12 de octubre de 1944 y repuesta el 13 de julio de 1947. La versión del texto se conserva en el Cetntro de Documentación Teatral y sabemos que se basa en la edición realizada por Américo Castro y publicada en 1919 por la editorial Calpe. En el texto conservado aparece el nombre del director Modesto Higueras, por lo que se confirma que hubo un cambio de director en algún momento.",Biblioteca Fundación Juan March
doc0007,Edición princeps,1619,Edición,"Fuenteovejuna fue incluida en la ""Docena parte de las comedias de Lope de Vega Carpio"", impresa por la Viuda de Alonso Martín, a costa del librero Alonso Pérez, Madrid, 1619. Hubo dos ediciones el mismo año, una primera con la portada con escudo xilográfico de Don Lorenzo de Cárdenas, Conde de la Puebla (la de este registro) y otra posterior con el símbolo del sagitario. A este ejemplar en concreto le faltan los folios 90-95 y 279-280. Estos últimos se corresponden con el final de Fuenteovejuna y fueron copiados a mano en algún momento.",Biblioteca Nacional de España. Sig. R/25127
doc0008,Edición de Américo Castro para la editorial Calpe en 1919,1919,Edición,"Fuente Ovejuna. Editado por Américo Castro. Colección Universal 5 y 6, Madrid / Barcelona: Calpe, 1919.

Se conserva un ejemplar en la Biblioteca de la Universidad de Castilla-La Mancha (Biblioteca General de Ciudad Real), signatura E 9685, que pertenecía a la biblioteca de Entrambasaguas. Una nota manuscrita al principio del libro dice: «Este ejemplar de Fuente Ovejuna reproduce exactamente las acotaciones del utilizado por el teatro universitario de La Barraca, que dirigió Federico García Lorca. Dichas acotaciones indican lo que se suprimía del texto original en la representación. Vitoria, 22.2.1939».

Hay dos impresiones del mismo año en dos talleres distintos, seguramente por necesidades de distribución (López Martínez 2019:58). Reeditada por Espasa-Calpe en 1935 por el centenario de muerte de Lope y en 1940.",
doc0009,Edición digital en la Biblioteca Digital ARTELOPE,201?,Edición digital,"Edición digital en la Biblioteca Digital ARTELOPE a cargo de Eva Soler Sasera. Sigue la edición publicada en 2002 por la Biblioteca Virtual Miguel de Cervantes a partir de la edición de Rinaldo Froldi (Madrid, Espasa-Calpe, 1998).
",Biblioteca Digital ARTELOPE. https://artelope.uv.es/biblioteca/textosAL/AL0640_FuenteOvejuna.php
doc0010,Edición digital en la Biblioteca Virtual Miguel de Cervantes,2002,Edición digital,"Reproduce la edición de Rinaldo Froldi y el apéndice de Abraham Madroñal, 19ª ed. Madrid, Espasa-Calpe, 1998 (Colección Austral)",Biblioteca Virtual Miguel de Cervantes. https://www.cervantesvirtual.com/obra/fuente-ovejuna--1/
